Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
insulin isoform X1 [Gorilla gorilla gorilla],Gorilla gorilla gorilla,226,226,100%,5e-74,100.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004050475.2?report=genbank&log$=prottop&blast_rank=1&RID=677V1VEG014"",""XP_004050475.2"")"
insulin preproprotein [Homo sapiens],Homo sapiens,223,223,100%,2e-73,100.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_000198.1?report=genbank&log$=prottop&blast_rank=2&RID=677V1VEG014"",""NP_000198.1"")"
insulin isoform X2 [Pongo abelii],Pongo abelii,222,222,100%,7e-73,99.09,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024110665.1?report=genbank&log$=prottop&blast_rank=3&RID=677V1VEG014"",""XP_024110665.1"")"
insulin preproprotein [Pan troglodytes],Pan troglodytes,221,221,100%,1e-72,98.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001008996.1?report=genbank&log$=prottop&blast_rank=4&RID=677V1VEG014"",""NP_001008996.1"")"
insulin [Pan paniscus],Pan paniscus,224,224,100%,2e-72,99.09,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034787832.1?report=genbank&log$=prottop&blast_rank=5&RID=677V1VEG014"",""XP_034787832.1"")"
insulin isoform X1 [Pan troglodytes],Pan troglodytes,224,224,100%,2e-72,99.09,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016775240.2?report=genbank&log$=prottop&blast_rank=6&RID=677V1VEG014"",""XP_016775240.2"")"
insulin isoform X2 [Symphalangus syndactylus],Symphalangus syndactylus,222,222,100%,3e-72,98.18,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_055150526.1?report=genbank&log$=prottop&blast_rank=7&RID=677V1VEG014"",""XP_055150526.1"")"
insulin isoform X1 [Macaca nemestrina],Macaca nemestrina,221,221,100%,4e-72,98.18,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011719619.2?report=genbank&log$=prottop&blast_rank=8&RID=677V1VEG014"",""XP_011719619.2"")"
insulin isoform X2 [Nomascus leucogenys],Nomascus leucogenys,219,219,100%,1e-71,98.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003281399.1?report=genbank&log$=prottop&blast_rank=9&RID=677V1VEG014"",""XP_003281399.1"")"
insulin isoform X2 [Hylobates moloch],Hylobates moloch,220,220,100%,1e-71,97.27,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032009712.2?report=genbank&log$=prottop&blast_rank=10&RID=677V1VEG014"",""XP_032009712.2"")"
insulin [Macaca fascicularis],Macaca fascicularis,219,219,100%,4e-71,98.18,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_065383852.1?report=genbank&log$=prottop&blast_rank=11&RID=677V1VEG014"",""XP_065383852.1"")"
insulin isoform X3 [Hylobates moloch],Hylobates moloch,218,218,100%,4e-71,97.27,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032009711.1?report=genbank&log$=prottop&blast_rank=12&RID=677V1VEG014"",""XP_032009711.1"")"
insulin isoform X2 [Papio anubis],Papio anubis,218,218,100%,4e-71,97.27,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003909425.2?report=genbank&log$=prottop&blast_rank=13&RID=677V1VEG014"",""XP_003909425.2"")"
insulin isoform X2 [Chlorocebus sabaeus],Chlorocebus sabaeus,218,218,100%,5e-71,97.27,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008002825.1?report=genbank&log$=prottop&blast_rank=14&RID=677V1VEG014"",""XP_008002825.1"")"
PREDICTED: insulin [Cercocebus atys],Cercocebus atys,216,216,100%,9e-71,96.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011896559.1?report=genbank&log$=prottop&blast_rank=15&RID=677V1VEG014"",""XP_011896559.1"")"
insulin isoform X2 [Rhinopithecus bieti],Rhinopithecus bieti,218,218,100%,1e-70,97.27,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017743290.1?report=genbank&log$=prottop&blast_rank=16&RID=677V1VEG014"",""XP_017743290.1"")"
insulin isoform X1 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,216,216,100%,1e-70,96.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023039285.1?report=genbank&log$=prottop&blast_rank=17&RID=677V1VEG014"",""XP_023039285.1"")"
insulin isoform X1 [Papio anubis],Papio anubis,217,217,100%,1e-70,97.27,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017803627.2?report=genbank&log$=prottop&blast_rank=18&RID=677V1VEG014"",""XP_017803627.2"")"
insulin isoform X4 [Theropithecus gelada],Theropithecus gelada,214,214,100%,5e-70,96.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025211013.1?report=genbank&log$=prottop&blast_rank=19&RID=677V1VEG014"",""XP_025211013.1"")"
insulin isoform X2 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,216,216,100%,5e-70,96.36,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023039287.1?report=genbank&log$=prottop&blast_rank=20&RID=677V1VEG014"",""XP_023039287.1"")"
insulin isoform X1 [Chlorocebus sabaeus],Chlorocebus sabaeus,218,218,100%,7e-70,97.27,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008002752.1?report=genbank&log$=prottop&blast_rank=21&RID=677V1VEG014"",""XP_008002752.1"")"
insulin isoform X2 [Theropithecus gelada],Theropithecus gelada,214,214,100%,2e-69,96.36,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025211011.1?report=genbank&log$=prottop&blast_rank=22&RID=677V1VEG014"",""XP_025211011.1"")"
insulin [Tupaia belangeri chinensis],Tupaia belangeri chinensis,188,188,100%,2e-59,91.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006141129.1?report=genbank&log$=prottop&blast_rank=23&RID=677V1VEG014"",""XP_006141129.1"")"
insulin-1 [Rattus rattus],Rattus rattus,186,186,100%,1e-58,81.82,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032748073.1?report=genbank&log$=prottop&blast_rank=24&RID=677V1VEG014"",""XP_032748073.1"")"
insulin [Kogia breviceps],Kogia breviceps,185,185,100%,2e-58,88.18,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_058924587.1?report=genbank&log$=prottop&blast_rank=25&RID=677V1VEG014"",""XP_058924587.1"")"
insulin [Micromys minutus],Micromys minutus,184,184,100%,5e-58,79.09,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_080768357.1?report=genbank&log$=prottop&blast_rank=26&RID=677V1VEG014"",""XP_080768357.1"")"
insulin [Mus caroli],Mus caroli,182,182,100%,5e-57,80.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021024413.1?report=genbank&log$=prottop&blast_rank=27&RID=677V1VEG014"",""XP_021024413.1"")"
insulin isoform X1 [Nannospalax galili],Nannospalax galili,181,181,100%,8e-57,87.27,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008837426.1?report=genbank&log$=prottop&blast_rank=28&RID=677V1VEG014"",""XP_008837426.1"")"
insulin [Lipotes vexillifer],Lipotes vexillifer,179,179,100%,5e-56,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007466015.1?report=genbank&log$=prottop&blast_rank=29&RID=677V1VEG014"",""XP_007466015.1"")"
insulin [Acomys russatus],Acomys russatus,176,176,100%,9e-55,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_051002988.1?report=genbank&log$=prottop&blast_rank=30&RID=677V1VEG014"",""XP_051002988.1"")"
insulin [Chionomys nivalis],Chionomys nivalis,175,175,100%,2e-54,85.45,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057635926.1?report=genbank&log$=prottop&blast_rank=31&RID=677V1VEG014"",""XP_057635926.1"")"
insulin [Arvicola amphibius],Arvicola amphibius,175,175,100%,2e-54,84.55,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038173309.1?report=genbank&log$=prottop&blast_rank=32&RID=677V1VEG014"",""XP_038173309.1"")"
insulin [Cricetulus griseus],Cricetulus griseus,175,175,100%,3e-54,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003508128.1?report=genbank&log$=prottop&blast_rank=33&RID=677V1VEG014"",""XP_003508128.1"")"
insulin [Peromyscus maniculatus bairdii],Peromyscus maniculatus bairdii,175,175,100%,3e-54,85.45,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006977353.1?report=genbank&log$=prottop&blast_rank=34&RID=677V1VEG014"",""XP_006977353.1"")"
insulin [Nycticebus coucang],Nycticebus coucang,174,174,100%,4e-54,86.36,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053418912.1?report=genbank&log$=prottop&blast_rank=35&RID=677V1VEG014"",""XP_053418912.1"")"
